"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.395107810E-1,-4.487774670E-1,-2.285491526E-1,-3.282538056E-1,6.011542988E-1
1.419153650E-1,-4.377819002E-1,-2.261056900E-1,-3.453580141E-1,6.017050216E-1
1.443207810E-1,-4.243428707E-1,-1.980059147E-1,-3.636839390E-1,5.929074309E-1
1.467268750E-1,-4.102929831E-1,-1.234804168E-1,-3.807881474E-1,5.732253994E-1
1.491322400E-1,-3.986865580E-1,-8.637845516E-3,-3.972814977E-1,5.629015654E-1
1.515367710E-1,-3.889127076E-1,1.147568300E-1,-4.107205272E-1,5.771599220E-1
1.539421350E-1,-3.809714615E-1,2.088299990E-1,-4.180509150E-1,6.029227069E-1
1.563482810E-1,-3.705867827E-1,2.607534826E-1,-4.204943776E-1,6.181767254E-1
1.587535420E-1,-3.638672531E-1,2.558665574E-1,-4.180509150E-1,6.104372536E-1
1.611581250E-1,-3.553151488E-1,2.076082528E-1,-4.107205272E-1,5.814132722E-1
1.635635420E-1,-3.461521864E-1,1.324718893E-1,-4.009467065E-1,5.460113543E-1
1.659696350E-1,-3.369892240E-1,4.450738430E-2,-3.905619979E-1,5.177656985E-1
1.683750000E-1,-3.253827989E-1,-4.651146010E-2,-3.807881474E-1,5.030277278E-1
1.707795310E-1,-3.143872321E-1,-1.387520432E-1,-3.722360432E-1,5.066074743E-1
1.731848960E-1,-2.966721356E-1,-2.163318396E-1,-3.655165434E-1,5.180889541E-1
1.755910420E-1,-2.801787853E-1,-2.816943824E-1,-3.606296182E-1,5.365683538E-1
1.779964060E-1,-2.612420022E-1,-3.299526870E-1,-3.594079018E-1,5.534349097E-1
1.804008850E-1,-2.404725850E-1,-3.611068130E-1,-3.630730808E-1,5.657271926E-1
1.828063020E-1,-2.154271305E-1,-3.763784170E-1,-3.722360432E-1,5.715148583E-1
1.852124480E-1,-1.873273551E-1,-3.800435960E-1,-3.832316101E-1,5.713065200E-1
1.876177080E-1,-1.592275798E-1,-3.782110214E-1,-3.960597813E-1,5.703160083E-1
1.900222920E-1,-1.262408942E-1,-3.721023500E-1,-4.113313854E-1,5.688500952E-1
1.924277080E-1,-9.264333546E-2,-3.629393876E-1,-4.321008027E-1,5.718556551E-1
1.948338020E-1,-5.660231411E-2,-3.562198877E-1,-4.534810483E-1,5.794320423E-1
1.972391670E-1,-2.056129463E-2,-3.531655669E-1,-4.754721820E-1,5.926402622E-1
1.996436460E-1,1.364712976E-2,-3.543872833E-1,-5.005176067E-1,6.134284517E-1
2.020490620E-1,4.846642166E-2,-3.556090295E-1,-5.261739492E-1,6.369189907E-1
2.044552080E-1,8.328570426E-2,-3.611068130E-1,-5.493867993E-1,6.626918546E-1
2.068604690E-1,1.126072109E-1,-3.739349544E-1,-5.683236122E-1,6.895646904E-1
2.092650520E-1,1.431504488E-1,-3.885957003E-1,-5.866495371E-1,7.180921589E-1
2.116704690E-1,1.724719703E-1,-4.105868340E-1,-6.031428576E-1,7.497395784E-1
2.140765620E-1,1.987391412E-1,-4.423518181E-1,-6.196362376E-1,7.868427061E-1
2.164819270E-1,2.237845957E-1,-4.796145558E-1,-6.349078417E-1,8.265698004E-1
2.188864580E-1,2.463865876E-1,-5.180990100E-1,-6.501794457E-1,8.671022122E-1
2.212918230E-1,2.677668631E-1,-5.547508597E-1,-6.642293334E-1,9.058963609E-1
2.236979690E-1,2.897579968E-1,-5.791854858E-1,-6.776683927E-1,9.373633096E-1
2.261033330E-1,3.080839217E-1,-5.944570899E-1,-6.886639595E-1,9.604962174E-1
2.285078120E-1,3.312968016E-1,-5.920136571E-1,-6.947726011E-1,9.710544311E-1
2.309132290E-1,3.551205099E-1,-5.675790310E-1,-6.929399967E-1,9.635467669E-1
2.333193750E-1,3.838311434E-1,-5.126012564E-1,-6.758357882E-1,9.310426453E-1
2.357246350E-1,4.247590899E-1,-3.922609091E-1,-6.306318045E-1,8.555614403E-1
2.381292190E-1,4.730173945E-1,-2.138884068E-1,-5.603823662E-1,7.638861842E-1
2.405345830E-1,5.151670575E-1,-4.773318768E-2,-4.803591073E-1,7.059889704E-1
2.429407290E-1,5.505972505E-1,7.810494304E-2,-3.954489231E-1,6.823764102E-1
2.453460940E-1,5.811404586E-1,1.611825526E-1,-3.080952466E-1,6.772198526E-1
2.477505730E-1,6.019098759E-1,2.033322155E-1,-2.189090103E-1,6.719826213E-1
2.501559900E-1,6.159597635E-1,2.118843198E-1,-1.315553486E-1,6.645360825E-1
2.525621350E-1,6.196249127E-1,1.935583651E-1,-4.603429139E-2,6.507833965E-1
2.549673960E-1,6.104619503E-1,1.587390900E-1,3.337812424E-2,6.316454628E-1
2.573719790E-1,5.854164958E-1,1.147568300E-1,1.054601595E-1,6.058080957E-1
2.597773960E-1,5.499863625E-1,6.038986892E-2,1.738770157E-1,5.799699576E-1
2.621834900E-1,5.053932071E-1,4.801176488E-3,2.374069393E-1,5.583971704E-1
2.645888540E-1,4.467502236E-1,-5.139837787E-2,2.984934151E-1,5.397461204E-1
2.669933850E-1,3.734464645E-1,-9.660236537E-2,3.559146821E-1,5.248519218E-1
2.693987500E-1,2.928123176E-1,-9.904582798E-2,4.151685834E-1,5.176041750E-1
2.718048960E-1,2.079021186E-1,-5.872875452E-2,4.793093801E-1,5.257469347E-1
2.742102600E-1,1.168832704E-1,4.190310836E-3,5.465044975E-1,5.588796144E-1
2.766147400E-1,1.914491318E-2,7.749407738E-2,6.161431074E-1,6.212923535E-1
2.790201560E-1,-8.592382073E-2,1.471326649E-1,6.851708293E-1,7.060382351E-1
2.814263020E-1,-1.971011907E-1,2.045539320E-1,7.523659468E-1,8.042050163E-1
2.838315620E-1,-3.186632693E-1,2.350971699E-1,8.152849674E-1,9.063699778E-1
2.862361460E-1,-4.432796836E-1,2.430384159E-1,8.714845777E-1,1.007496858E0
2.886415100E-1,-5.752264857E-1,2.259342074E-1,9.209645987E-1,1.109102145E0
2.910476560E-1,-7.083949447E-1,1.874497235E-1,9.618925452E-1,1.209213821E0
2.934530210E-1,-8.470612764E-1,1.220872030E-1,9.918248653E-1,1.310013227E0
2.958575000E-1,-9.869492650E-1,3.351181746E-2,1.013815999E0,1.415279044E0
2.982629170E-1,-1.124393940E0,-5.811788887E-2,1.024811625E0,1.522457976E0
3.006690620E-1,-1.260005832E0,-1.332542598E-1,1.024811625E0,1.629604327E0
3.030743230E-1,-1.389509201E0,-1.674626768E-1,1.016870379E0,1.729972525E0
3.054789060E-1,-1.479917169E0,-2.879638225E-2,9.936574697E-1,1.782789731E0
3.078843230E-1,-1.473197699E0,4.275195599E-1,9.478426576E-1,1.803188880E0
3.102904170E-1,-1.459147811E0,8.734508157E-1,8.940865397E-1,1.921306691E0
3.126957810E-1,-1.511682153E0,1.044492960E0,8.580455184E-1,2.027903002E0
3.151003120E-1,-1.595981479E0,1.051823378E0,8.268914223E-1,2.082603832E0
3.175056770E-1,-1.677837372E0,1.023112655E0,7.798548341E-1,2.114254316E0
3.199118230E-1,-1.737702131E0,1.058542848E0,7.126597166E-1,2.155923359E0
